Nome estacao,Nr Rack,Area Linha Separaçao,Linha,Coluna,Codigo Material,Conferencia Obrigatoria
COLMÉIA,1,2,2,E,48104,0
COLMÉIA,1,2,2,F,89733,0
COLMÉIA,1,2,2,G,87822,0
COLMÉIA,1,2,2,H,88098,0
COLMÉIA,1,2,2,I,87886,0
COLMÉIA,1,2,2,J,82492,0
COLMÉIA,1,2,2,K,77837,0
COLMÉIA,1,2,2,L,77855,0
COLMÉIA,1,2,2,M,90357,0
COLMÉIA,1,2,2,N,40090,0
COLMÉIA,1,2,2,O,87819,0
COLMÉIA,1,2,2,P,87821,0
COLMÉIA,1,2,2,Q,89029,0
COLMÉIA,1,2,2,R,88947,0
COLMÉIA,1,2,2,S,77842,0
COLMÉIA,1,2,2,T,88101,0
COLMÉIA,1,2,3,A,86135,0
COLMÉIA,1,2,3,B,89077,0
COLMÉIA,1,2,3,C,51270,0
COLMÉIA,1,2,3,D,87818,0
COLMÉIA,1,2,3,E,89576,0
COLMÉIA,1,2,3,F,89027,0
COLMÉIA,1,2,3,G,89026,0
COLMÉIA,1,2,3,H,49902,0
COLMÉIA,1,2,3,I,88099,0
COLMÉIA,1,2,3,J,87887,0
COLMÉIA,1,2,3,K,89073,0
COLMÉIA,1,2,3,L,86133,0
COLMÉIA,1,2,3,M,88614,0
COLMÉIA,1,2,3,N,01790,0
COLMÉIA,1,2,3,O,55588,0
COLMÉIA,1,2,3,P,87794,0
COLMÉIA,1,2,3,Q,59359,0
COLMÉIA,1,2,3,R,51455,0
COLMÉIA,1,2,3,S,89075,0
COLMÉIA,1,2,3,T,89070,0
COLMÉIA,1,2,4,A,79133,0
COLMÉIA,1,2,4,B,55879,0
COLMÉIA,1,2,4,C,87790,0
COLMÉIA,1,2,4,D,48101,0
COLMÉIA,1,2,4,E,87791,0
COLMÉIA,1,2,4,F,87796,0
COLMÉIA,1,2,4,G,89071,0
COLMÉIA,1,2,4,H,87795,0
COLMÉIA,1,2,4,I,85925,0
COLMÉIA,1,2,4,J,88819,0
COLMÉIA,1,2,4,K,85023,0
COLMÉIA,1,2,4,L,86119,0
COLMÉIA,1,2,4,M,58333,0
COLMÉIA,1,2,4,N,56623,0
COLMÉIA,1,2,4,O,53019,0
COLMÉIA,1,2,4,P,87803,0
COLMÉIA,1,2,4,Q,87802,0
COLMÉIA,1,2,4,R,85032,0
COLMÉIA,1,2,4,S,89068,0
COLMÉIA,1,2,4,T,85012,0
COLMÉIA,1,2,5,A,85015,0
COLMÉIA,1,2,5,B,75374,0
COLMÉIA,1,2,5,C,56465,0
COLMÉIA,1,2,5,D,,0
COLMÉIA,1,2,5,E,89069,0
COLMÉIA,1,2,5,F,89074,0
COLMÉIA,1,2,5,G,73869,0
COLMÉIA,1,2,5,H,87804,0
COLMÉIA,1,2,5,I,59468,0
COLMÉIA,1,2,5,J,59469,0
COLMÉIA,1,2,5,K,89076,0
COLMÉIA,1,2,5,L,87801,0
COLMÉIA,1,2,5,M,87797,0
COLMÉIA,1,2,5,N,87793,0
COLMÉIA,1,2,5,O,87425,0
COLMÉIA,1,2,5,P,88015,0
COLMÉIA,1,2,5,Q,88011,0
COLMÉIA,1,2,5,R,87792,0
COLMÉIA,1,2,5,S,89552,0
COLMÉIA,1,2,5,T,89067,0
COLMÉIA,1,2,6,A,49900,0
COLMÉIA,1,2,6,B,89863,0
COLMÉIA,1,2,6,C,58627,0
COLMÉIA,1,2,6,D,84965,0
COLMÉIA,1,2,6,E,58334,0
COLMÉIA,1,2,6,F,48015,0
COLMÉIA,1,2,6,G,82551,0
COLMÉIA,1,2,6,H,75755,0
COLMÉIA,1,2,6,I,94908,0
COLMÉIA,1,2,6,J,77860,0
COLMÉIA,1,2,6,K,55731,0
COLMÉIA,1,2,6,L,92647,0
COLMÉIA,1,2,6,M,87805,0
COLMÉIA,1,2,6,N,84871,0
COLMÉIA,1,2,6,O,96419,0
COLMÉIA,1,2,6,P,86136,0
COLMÉIA,1,2,6,Q,75389,0
COLMÉIA,1,2,6,R,90702,0
COLMÉIA,1,2,6,S,49150,0
COLMÉIA,1,2,6,T,79484,0
COLMÉIA,1,2,7,A,89991,0
COLMÉIA,1,2,7,B,84966,0
COLMÉIA,1,2,7,C,87456,0
COLMÉIA,1,2,7,D,56761,0
COLMÉIA,1,2,7,E,85031,0
COLMÉIA,1,2,7,F,86611,0
COLMÉIA,1,2,7,G,55796,0
COLMÉIA,1,2,7,H,84967,0
COLMÉIA,1,2,7,I,59406,0
COLMÉIA,1,2,7,J,56417,0
COLMÉIA,1,2,7,K,85030,0
COLMÉIA,1,2,7,L,51183,0
COLMÉIA,1,2,7,M,87455,0
COLMÉIA,1,2,7,N,84960,0
COLMÉIA,1,2,7,O,84862,0
COLMÉIA,1,2,7,P,09401,0
COLMÉIA,1,2,7,Q,94221,0
COLMÉIA,1,2,7,R,81508,0
COLMÉIA,1,2,7,S,59888,0
COLMÉIA,1,2,7,T,2252;02252,0
COLMÉIA,1,2,8,A,94517,0
COLMÉIA,1,2,8,B,56675,0
COLMÉIA,1,2,8,C,59891,0
COLMÉIA,1,2,8,D,09400,0
COLMÉIA,1,2,8,E,84863,0
COLMÉIA,1,2,8,F,85399,0
COLMÉIA,1,2,8,G,86366,0
COLMÉIA,1,2,8,H,85533,0
COLMÉIA,1,2,8,I,51021,0
COLMÉIA,1,2,8,J,57059,0
COLMÉIA,1,2,8,K,94521,0
COLMÉIA,1,2,8,L,92813,0
COLMÉIA,1,2,8,M,87435,0
COLMÉIA,1,2,8,N,95419,0
COLMÉIA,1,2,8,O,85857,0
COLMÉIA,1,2,8,P,92312,0
COLMÉIA,1,2,8,Q,2276;02276,0
COLMÉIA,1,2,8,R,82540,0
COLMÉIA,1,2,8,S,82535,0
COLMÉIA,1,2,8,T,55982,0
COLMÉIA,1,2,9,A,71500,0
